rain_location,rain_time,temperature_after_rain,article_link,article_title
Bengaluru,NA,28,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/will-rain-thunderstorms-play-a-spoilsport-and-severely-dent-rcbs-playoffs-hopes-washout-scenarios-explained/articleshow/110057320.cms,"Will rain, thunderstorms play a spoilsport and severely dent RCB's ..."
Southern Brazil,NA,NA,https://timesofindia.indiatimes.com/world/rest-of-world/rivers-rise-again-as-rain-batters-flood-hit-south-brazil/articleshow/110076252.cms,Rivers rise again as rain batters flood-hit south Brazil - Times of India
"['Adilabad', 'Medak', 'Sangareddy']",NA,NA,https://timesofindia.indiatimes.com/city/hyderabad/government-to-procure-rain-soaked-paddy/articleshow/110064784.cms,Paddy: Government to Procure Rain-Soaked Paddy | Hyderabad ...
"Pamban, Ramanathapuram",NA,37,https://timesofindia.indiatimes.com/city/madurai/rain-likely-this-week-in-south-tn-vaigai-sees-copious-flow/articleshow/110063784.cms,Rain: Rain Likely This Week In South Tn; Vaigai Sees Copious Flow ...
"['Bhubaneswar', 'Cuttack']",NA,34.7,https://timesofindia.indiatimes.com/city/bhubaneswar/rain-relief-for-capital-mercury-falls-by-8-3c/articleshow/110065018.cms,"Rain Relief: Rain Relief For Capital, Mercury Falls By 8.3°c ..."
Bengaluru,NA,NA,https://timesofindia.indiatimes.com/city/bengaluru/rain-and-wind-uproot-13-trees/articleshow/110063175.cms,Rain and wind uproot 13 trees | Bengaluru News - Times of India
Hubballi,NA,NA,https://timesofindia.indiatimes.com/city/hubballi/hdmc-takes-up-rain-relief-works/articleshow/110064592.cms,HDMC takes up rain relief works | Hubballi News - Times of India
Some parts of the city,NA,39.8,https://timesofindia.indiatimes.com/city/delhi/some-parts-likely-to-witness-light-rain-in-delhi-today/articleshow/110066641.cms,Some parts likely to witness light rain in Delhi today | Delhi News ...
Indore and Ujjain division,NA,NA,https://timesofindia.indiatimes.com/city/indore/respite-from-heat-on-poll-day-met-alert-for-rain-thunderstorm-today/articleshow/110063624.cms,Weather Forecast: Respite from heat on poll day: Met alert for rain ...
Bihar,NA,NA,https://www.bhaskar.com/national/news/imd-monsoon-2024-weather-update-maharashtra-mp-cg-rajasthan-rain-alert-133008392.html,MP Bihar IMD Weather Rainfall Photos Update; Delhi Maharashtra ...
"Auraiya-Etawah, Agra, Sitapur, Lakhimpur, Aligarh",NA,NA,https://www.bhaskar.com/local/uttar-pradesh/kanpur/news/up-weather-rain-in-auraiya-etawah-rain-alert-in-19-districts-of-up-133013050.html,up weather rain in Auraiya-Etawah; Rain alert in 19 districts of up ...
Khandwa,NA,NA,https://www.bhaskar.com/local/mp/khandwa/news/heat-will-be-less-from-this-morning-possibility-of-rain-after-noon-133010881.html,"Heat will be less from this morning, possibility of rain after noon ..."
Gaurav Path,NA,NA,https://www.bhaskar.com/local/rajasthan/sriganganagar/anoopgarh/news/rain-water-accumulated-throughout-gaurav-path-133009467.html,Rain water accumulated throughout Gaurav Path | गौरव पथ भर जमा ...
Alniyawas,NA,NA,https://www.bhaskar.com/local/rajasthan/nagaur/alniyawas/news/rain-brought-relief-to-common-people-from-scorching-heat-temperature-dropped-133010484.html,Rain brought relief to common people from scorching heat ...
Marathwada,NA,NA,https://divyamarathi.bhaskar.com/local/maharashtra/aurangabad/news/5-victims-of-unseasonal-rain-in-the-state-3-in-marathwada-three-more-days-of-rain-with-hail-133012778.html,"5 victims of unseasonal rain in the state, 3 in Marathwada, three ..."
"Bikaner, Jodhpur, Ajmer, Udaipur, Kota, Jaipur, Bharatpur",NA,NA,https://www.bhaskar.com/local/rajasthan/ajmer/news/today-rain-alert-in-many-districts-including-ajmer-133003348.html,Today rain alert in many districts including Ajmer | आज अजमेर सहित ...
Shivpuri,NA,NA,https://www.bhaskar.com/local/mp/shivpuri/news/heavy-rain-with-thunderstorm-in-shivpuri-133009633.html,Heavy rain with thunderstorm in Shivpuri | शिवपुरी में तेज आंधी के साथ ...
Pauakhali,0,NA,https://www.bhaskar.com/local/bihar/kishanganj/news/rain-in-pauakhali-disrupted-life-133011859.html,Rain in Pauakhali disrupted life | पौआखाली में बारिश से जनजीवन हुआ ...
Bhilwara,14,40,https://www.bhaskar.com/local/rajasthan/bhilwara/news/temperature-decreased-due-to-rain-heat-wave-will-start-again-from-16th-133010321.html,"Temperature decreased due to rain, heat wave will start again from ..."
Delhi NCR,NA,25,https://hindi.news24online.com/india/delhi-ncr-weather-update-imd-issued-alert-for-delhi-ncr-of-rain-with-dust-storm/707845/,"दिल्ली में आज शाम धूल भरी आंधी के साथ बारिश की संभावना, IMD ने जारी ..."
"Delhi-NCR, Eastern and Central India, Uttar Pradesh, Char Dham Yatra in Uttarakhand, Chhattisgarh, Madhya Pradesh, Vidarbha, Bihar, Gujarat, Maharashtra, Rajasthan, Tamil Nadu, Andaman and Nicobar Islands",NA,NA,https://hindi.news24online.com/india/weather-update-imd-issue-gusty-wind-alert-in-delhi-ncr-check-chardham-yatra-weather/708213/,"दिल्ली-NCR में फिर बदलेगा मौसम, चारधाम यात्रा को लेकर भी अलर्ट ..."
Hyderabad and its neighbourhood,NA,NA,https://www.deccanchronicle.com/nation/hyderabad-rain-likely-in-city-today-893722,Hyderabad: Rain Likely in City Today
"['Adilabad', 'Medak', 'Sangareddy']",NA,NA,https://www.deccanchronicle.com/southern-states/telangana/step-up-preventive-and-relief-measures-in-rain-hit-districts-cm-revanth-reddy-instructs-officials-893657,"Step Up Preventive, Relief Measures In Rain Hit Districts CM ..."
North coastal Andhra Pradesh,NA,NA,https://www.deccanchronicle.com/southern-states/andhra-pradesh/ap-to-have-cool-weather-rain-on-polling-day-893673,"AP to Have Cool Weather, Rain on Polling Day"
Kamareddy district,NA,NA,https://www.deccanchronicle.com/nation/heavy-rain-lashes-kamareddy-district-893701,Heavy Rain Lashes Kamareddy District
Kamareddy District,NA,NA,https://www.deccanchronicle.com/tags/rain-news,Read all Latest Updates on and about Rain News
Telangana Districts,NA,NA,https://www.deccanchronicle.com/tags/relief-measures-for-rain-hit-telangana-districts,Read all Latest Updates on and about Relief Measures For Rain Hit ...
Hyderabad,NA,NA,https://www.deccanchronicle.com/southern-states/telangana/evdm-issues-advisory-as-heavy-rainfall-predicted-in-hyderabad-893652,EVDM issues advisory as Hyderabad braces for heavy rainfall
